Date;High price;Low price;Closing price;Average price;Total volume;Turnover;
2017-04-07;132.32;132.32;132.32;132.32;7.100;939.472;
2017-04-06;130.66;130.66;130.66;130.66;106;13.850;
2017-04-05;130.55;130.55;130.55;130.55;119;15.535;
2017-04-04;;;128.11;;;;
2017-04-03;;;128.11;;;;
2017-03-31;;;128.11;;;;
2017-03-30;;;128.11;;;;
2017-03-29;128.11;128.11;128.11;128.11;5;641;
2017-03-28;;;121.94;;;;
2017-03-27;;;121.94;;;;
2017-03-24;;;121.94;;;;
2017-03-23;;;121.94;;;;
2017-03-22;;;121.94;;;;
2017-03-21;;;121.94;;;;
2017-03-20;;;121.94;;;;
2017-03-17;121.94;121.85;121.94;121.85;589;71.770;
2017-03-16;;;121.23;;;;
2017-03-15;121.23;121.23;121.23;121.23;5;606;
2017-03-14;;;121.62;;;;
2017-03-13;;;121.62;;;;
2017-03-10;121.62;121.62;121.62;121.62;10;1.216;
2017-03-09;124.06;124.06;124.06;124.06;128;15.880;
2017-03-08;;;126.47;;;;
2017-03-07;126.47;126.47;126.47;126.47;40;5.059;
2017-03-06;128.21;128.21;128.21;128.21;32;4.103;
2017-03-03;127.87;127.54;127.54;127.72;18;2.299;
